,Date,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,ema_short,ema_long,transition,velas_posteriores,price_entry_long,price_entry_short,entrys,entry_dates_candle,static_tp,static_sl,static_tp_confirm,static_sl_confirm,static_tp_percent,static_sl_percent,date_tp_sl,dif_percent_long_to_tp,dif_percent_long_to_sl,dif_percent_short_to_tp,dif_percent_short_to_sl
7627,2025-01-02 11:35:00,3479.65,3480.94,3459.67,3461.67,51523.911,2025-01-02 11:39:59.999000-03:00,178733657.4116,67230,23091.636,80107313.40444,0,3462.6217365755633,3462.0157135964273,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7628,2025-01-02 11:40:00,3461.68,3488.89,3461.03,3478.97,32412.849,2025-01-02 11:44:59.999000-03:00,112741683.90952,44140,20233.96,70380994.64146,0,3465.5941481072787,3462.6805875730383,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7629,2025-01-02 11:45:00,3478.98,3491.24,3477.59,3487.79,23536.811,2025-01-02 11:49:59.999000-03:00,82040554.20631,40109,13491.08,47026468.81443,0,3469.6297575423187,3463.6652704133116,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7630,2025-01-02 11:50:00,3487.79,3497.24,3481.19,3495.13,21075.832,2025-01-02 11:54:59.999000-03:00,73532019.54795,34470,11931.864,41635756.18033,0,3474.2661652618967,3464.8991813774956,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7631,2025-01-02 11:55:00,3495.09,3497.77,3486.48,3494.53,16344.153,2025-01-02 11:59:59.999000-03:00,57082182.19264,32130,8321.394,29063850.9108,0,3477.950498850643,3466.0611742646524,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7632,2025-01-02 12:00:00,3494.43,3495.68,3481.37,3486.12,19048.477,2025-01-02 12:04:59.999000-03:00,66447566.32763,34535,7125.72,24858797.15802,0,3479.4358626959806,3466.847794881725,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7633,2025-01-02 12:05:00,3486.11,3491.04,3479.4,3482.58,9865.29,2025-01-02 12:09:59.999000-03:00,34375903.56346,27398,5002.412,17433880.50341,0,3480.007524023984,3467.4647441020493,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7634,2025-01-02 12:10:00,3482.57,3487.5,3477.5,3484.68,8194.234,2025-01-02 12:14:59.999000-03:00,28538437.19463,23843,4408.907,15356793.49119,0,3480.857065110532,3468.1398521764786,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7635,2025-01-02 12:15:00,3484.68,3487.94,3473.58,3474.2,14870.516,2025-01-02 12:19:59.999000-03:00,51780074.83513,28297,5204.498,18124241.57076,0,3479.6466896358897,3468.377505032303,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7636,2025-01-02 12:20:00,3474.2,3474.97,3455.54,3463.2,34531.846,2025-01-02 12:24:59.999000-03:00,119644075.90646,49567,15710.607,54445273.50838,0,3476.6563824293644,3468.174465619272,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7637,2025-01-02 12:25:00,3463.19,3471.7,3462.12,3468.42,8303.581,2025-01-02 12:29:59.999000-03:00,28794440.57699,25833,4233.464,14680137.49682,0,3475.1588583512985,3468.184094418516,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7638,2025-01-02 12:30:00,3468.4,3471.07,3459.94,3459.95,11525.591,2025-01-02 12:34:59.999000-03:00,39923939.33399,26817,4751.605,16460525.51839,0,3472.3936113783348,3467.8611887550446,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
